# WarpX progress — /home/hhelal/LaserProdShock/runs/P0_bc_inject
# logging_started 2026-07-28T14:32:41  total_steps=24000  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-07-28T14:33:11 | 1289/24000 ( 5.4%) | 0h00m | 0.0233 s/step(wall) | 0.0222 s/step(warpx) | ETA ~0h08m | x1.05 | load 29.2 | laser 0.167 of peak, Eabs 2.641e+04 J
2026-07-28T14:33:41 | 2599/24000 (10.8%) | 0h01m | 0.0229 s/step(wall) | 0.0223 s/step(warpx) | ETA ~0h08m | x1.03 | load 29.2 | laser 0.069 of peak, Eabs 4.356e+04 J
2026-07-28T14:34:41 | 5366/24000 (22.4%) | 0h02m | 0.0217 s/step(wall) | 0.0219 s/step(warpx) | ETA ~0h06m | x0.99 | load 29.2 | laser 0.070 of peak, Eabs 6.774e+04 J
2026-07-28T14:35:41 | 8381/24000 (34.9%) | 0h03m | 0.0199 s/step(wall) | 0.0210 s/step(warpx) | ETA ~0h05m | x0.95 | load 29.3 | laser 0.118 of peak, Eabs 9.249e+04 J
2026-07-28T14:36:11 | 9960/24000 (41.5%) | 0h03m | 0.0190 s/step(wall) | 0.0207 s/step(warpx) | ETA ~0h04m | x0.92 | load 29.4 | laser 0.052 of peak, Eabs 1.036e+05 J
2026-07-28T14:37:11 | 13199/24000 (55.0%) | 0h04m | 0.0185 s/step(wall) | 0.0200 s/step(warpx) | ETA ~0h03m | x0.93 | load 29.5 | laser 0.068 of peak, Eabs 1.269e+05 J
2026-07-28T14:37:41 | 14763/24000 (61.5%) | 0h05m | 0.0192 s/step(wall) | 0.0199 s/step(warpx) | ETA ~0h02m | x0.96 | load 29.7 | laser 0.070 of peak, Eabs 1.4e+05 J
2026-07-28T14:38:41 | 18010/24000 (75.0%) | 0h06m | 0.0185 s/step(wall) | 0.0197 s/step(warpx) | ETA ~0h01m | x0.94 | load 29.4 | laser 0.055 of peak, Eabs 1.646e+05 J
2026-07-28T14:39:11 | 19730/24000 (82.2%) | 0h06m | 0.0175 s/step(wall) | 0.0194 s/step(warpx) | ETA ~0h01m | x0.90 | load 29.7 | laser 0.074 of peak, Eabs 1.778e+05 J
2026-07-28T14:40:11 | 23233/24000 (96.8%) | 0h07m | 0.0171 s/step(wall) | 0.0190 s/step(warpx) | ETA ~0h00m | x0.90 | load 29.4 | laser 0.087 of peak, Eabs 2.048e+05 J
2026-07-28T14:40:41 | 24000/24000 (100.0%) | 0h08m | 0.0392 s/step(wall) | 0.0189 s/step(warpx) | ETA ~0h00m | x2.07 | load 29.8 | laser 0.050 of peak, Eabs 2.106e+05 J
DONE 2026-07-28T14:40:41 | 24000/24000 (100.0%) | total wall 0h08m | mean 0.0200 s/step(wall) | reached max_step
