# WarpX progress — /home/hhelal/LaserProdShock/runs/P0_bc_2d_open
# logging_started 2026-07-28T15:26:05  total_steps=8000  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-07-28T15:26:35 | 158/8000 ( 2.0%) | 0h00m | 0.1899 s/step(wall) | 0.1761 s/step(warpx) | ETA ~0h24m | x1.08 | load 29.7 | laser 0.798 of peak, Eabs 0.02568 J
2026-07-28T15:28:35 | 850/8000 (10.6%) | 0h02m | 0.1734 s/step(wall) | 0.1735 s/step(warpx) | ETA ~0h20m | x1.00 | load 33.9 | laser 0.742 of peak, Eabs 0.1364 J
2026-07-28T15:31:05 | 1733/8000 (21.7%) | 0h05m | 0.1699 s/step(wall) | 0.1713 s/step(warpx) | ETA ~0h17m | x0.99 | load 33.2 | laser 0.464 of peak, Eabs 0.2703 J
2026-07-28T15:33:05 | 2493/8000 (31.2%) | 0h07m | 0.1579 s/step(wall) | 0.1671 s/step(warpx) | ETA ~0h14m | x0.95 | load 32.5 | laser 0.407 of peak, Eabs 0.353 J
2026-07-28T15:35:05 | 3281/8000 (41.0%) | 0h09m | 0.1523 s/step(wall) | 0.1634 s/step(warpx) | ETA ~0h11m | x0.93 | load 29.5 | laser 0.378 of peak, Eabs 0.4251 J
2026-07-28T15:37:05 | 4096/8000 (51.2%) | 0h11m | 0.1473 s/step(wall) | 0.1601 s/step(warpx) | ETA ~0h09m | x0.92 | load 31.7 | laser 0.325 of peak, Eabs 0.4919 J
2026-07-28T15:39:05 | 4927/8000 (61.6%) | 0h13m | 0.1444 s/step(wall) | 0.1573 s/step(warpx) | ETA ~0h07m | x0.92 | load 31.8 | laser 0.292 of peak, Eabs 0.5569 J
2026-07-28T15:41:05 | 5789/8000 (72.4%) | 0h15m | 0.1392 s/step(wall) | 0.1545 s/step(warpx) | ETA ~0h05m | x0.90 | load 29.9 | laser 0.317 of peak, Eabs 0.6236 J
2026-07-28T15:42:35 | 6470/8000 (80.9%) | 0h16m | 0.1322 s/step(wall) | 0.1520 s/step(warpx) | ETA ~0h03m | x0.87 | load 29.6 | laser 0.348 of peak, Eabs 0.6767 J
2026-07-28T15:44:35 | 7407/8000 (92.6%) | 0h18m | 0.1281 s/step(wall) | 0.1489 s/step(warpx) | ETA ~0h01m | x0.86 | load 28.7 | laser 0.356 of peak, Eabs 0.7496 J
2026-07-28T15:46:05 | 8000/8000 (100.0%) | 0h20m | 0.1518 s/step(wall) | 0.1473 s/step(warpx) | ETA ~0h00m | x1.03 | load 28.5 | laser 0.344 of peak, Eabs 0.7979 J
DONE 2026-07-28T15:46:05 | 8000/8000 (100.0%) | total wall 0h20m | mean 0.1500 s/step(wall) | reached max_step
