# WarpX progress — /home/hhelal/LaserProdShock/runs/P1_vac_1d
# logging_started 2026-07-28T18:08:06  total_steps=102400  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-07-28T18:08:36 | 6995/102400 ( 6.8%) | 0h00m | 0.0043 s/step(wall) | 0.0041 s/step(warpx) | ETA ~0h06m | x1.04 | load 32.1 | laser 0.280 of peak, Eabs 4.019e+05 J
2026-07-28T18:09:06 | 14079/102400 (13.7%) | 0h01m | 0.0042 s/step(wall) | 0.0041 s/step(warpx) | ETA ~0h06m | x1.02 | load 32.8 | laser 1.000 of peak, Eabs 6.178e+05 J
2026-07-28T18:09:36 | 20837/102400 (20.3%) | 0h01m | 0.0044 s/step(wall) | 0.0042 s/step(warpx) | ETA ~0h06m | x1.05 | load 34.8 | laser 0.329 of peak, Eabs 7.84e+05 J
2026-07-28T18:10:36 | 33870/102400 (33.1%) | 0h02m | 0.0046 s/step(wall) | 0.0044 s/step(warpx) | ETA ~0h05m | x1.06 | load 32.2 | laser 0.193 of peak, Eabs 1.097e+06 J
2026-07-28T18:11:37 | 46379/102400 (45.3%) | 0h03m | 0.0048 s/step(wall) | 0.0045 s/step(warpx) | ETA ~0h04m | x1.08 | load 30.8 | laser 0.203 of peak, Eabs 1.343e+06 J
2026-07-28T18:12:07 | 52447/102400 (51.2%) | 0h04m | 0.0050 s/step(wall) | 0.0045 s/step(warpx) | ETA ~0h04m | x1.10 | load 29.9 | laser 0.239 of peak, Eabs 1.462e+06 J
2026-07-28T18:13:07 | 64252/102400 (62.7%) | 0h05m | 0.0051 s/step(wall) | 0.0046 s/step(warpx) | ETA ~0h03m | x1.10 | load 29.2 | laser 0.268 of peak, Eabs 1.678e+06 J
2026-07-28T18:14:07 | 75787/102400 (74.0%) | 0h06m | 0.0052 s/step(wall) | 0.0047 s/step(warpx) | ETA ~0h02m | x1.11 | load 30.6 | laser 0.199 of peak, Eabs 1.914e+06 J
2026-07-28T18:15:07 | 87278/102400 (85.2%) | 0h07m | 0.0052 s/step(wall) | 0.0048 s/step(warpx) | ETA ~0h01m | x1.10 | load 30.5 | laser 0.177 of peak, Eabs 2.148e+06 J
2026-07-28T18:15:37 | 92902/102400 (90.7%) | 0h07m | 0.0054 s/step(wall) | 0.0048 s/step(warpx) | ETA ~0h00m | x1.12 | load 30.0 | laser 0.210 of peak, Eabs 2.262e+06 J
2026-07-28T18:16:38 | 102400/102400 (100.0%) | 0h08m | 0.0063 s/step(wall) | 0.0049 s/step(warpx) | ETA ~0h00m | x1.31 | load 29.2 | laser 0.234 of peak, Eabs 2.463e+06 J
DONE 2026-07-28T18:16:38 | 102400/102400 (100.0%) | total wall 0h08m | mean 0.0050 s/step(wall) | reached max_step
