# WarpX progress — /home/hhelal/LaserProdShock/runs/P1_vac_1d_long_off
# logging_started 2026-07-28T20:32:53  total_steps=1024000  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-07-28T20:33:23 | 4631/1024000 ( 0.5%) | 0h00m | 0.0065 s/step(wall) | 0.0062 s/step(warpx) | ETA ~1h50m | x1.05 | load 25.3 | laser nan of peak, Eabs 0 J
2026-07-28T20:45:25 | 102479/1024000 (10.0%) | 0h12m | 0.0074 s/step(wall) | 0.0073 s/step(warpx) | ETA ~1h53m | x1.01 | load 26.4 | laser nan of peak, Eabs 0 J
2026-07-28T20:59:30 | 205876/1024000 (20.1%) | 0h26m | 0.0082 s/step(wall) | 0.0077 s/step(warpx) | ETA ~1h51m | x1.06 | load 26.6 | laser nan of peak, Eabs 0 J
2026-07-28T21:15:10 | 308491/1024000 (30.1%) | 0h42m | 0.0092 s/step(wall) | 0.0082 s/step(warpx) | ETA ~1h49m | x1.12 | load 26.9 | laser nan of peak, Eabs 0 J
2026-07-28T21:32:26 | 411286/1024000 (40.2%) | 0h59m | 0.0101 s/step(wall) | 0.0087 s/step(warpx) | ETA ~1h42m | x1.16 | load 27.1 | laser nan of peak, Eabs 0 J
2026-07-28T21:51:17 | 512299/1024000 (50.0%) | 1h18m | 0.0112 s/step(wall) | 0.0092 s/step(warpx) | ETA ~1h35m | x1.22 | load 26.9 | laser nan of peak, Eabs 0 J
2026-07-28T22:12:16 | 615047/1024000 (60.1%) | 1h39m | 0.0123 s/step(wall) | 0.0097 s/step(warpx) | ETA ~1h23m | x1.27 | load 25.7 | laser nan of peak, Eabs 0 J
2026-07-28T22:34:24 | 718919/1024000 (70.2%) | 2h01m | 0.0128 s/step(wall) | 0.0101 s/step(warpx) | ETA ~1h05m | x1.26 | load 25.6 | laser nan of peak, Eabs 0 J
2026-07-28T22:56:08 | 819772/1024000 (80.1%) | 2h23m | 0.0129 s/step(wall) | 0.0105 s/step(warpx) | ETA ~0h44m | x1.24 | load 25.8 | laser nan of peak, Eabs 0 J
2026-07-28T23:18:29 | 921859/1024000 (90.0%) | 2h45m | 0.0131 s/step(wall) | 0.0108 s/step(warpx) | ETA ~0h22m | x1.22 | load 18.2 | laser nan of peak, Eabs 0 J
2026-07-28T23:42:59 | 1024000/1024000 (100.0%) | 3h10m | 0.0144 s/step(wall) | 0.0111 s/step(warpx) | ETA ~0h00m | x1.30 | load 18.0 | laser nan of peak, Eabs 0 J
DONE 2026-07-28T23:42:59 | 1024000/1024000 (100.0%) | total wall 3h10m | mean 0.0111 s/step(wall) | reached max_step
