# WarpX progress — /home/hhelal/LaserProdShock/runs/P1_vac_1d_off
# logging_started 2026-07-28T18:08:06  total_steps=102400  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-07-28T18:08:36 | 6799/102400 ( 6.6%) | 0h00m | 0.0044 s/step(wall) | 0.0042 s/step(warpx) | ETA ~0h07m | x1.04 | load 32.1 | laser nan of peak, Eabs 0 J
2026-07-28T18:09:06 | 13561/102400 (13.2%) | 0h01m | 0.0044 s/step(wall) | 0.0043 s/step(warpx) | ETA ~0h06m | x1.03 | load 32.8 | laser nan of peak, Eabs 0 J
2026-07-28T18:10:06 | 26827/102400 (26.2%) | 0h02m | 0.0045 s/step(wall) | 0.0044 s/step(warpx) | ETA ~0h05m | x1.03 | load 33.8 | laser nan of peak, Eabs 0 J
2026-07-28T18:10:36 | 33291/102400 (32.5%) | 0h02m | 0.0046 s/step(wall) | 0.0044 s/step(warpx) | ETA ~0h05m | x1.05 | load 32.2 | laser nan of peak, Eabs 0 J
2026-07-28T18:11:37 | 45451/102400 (44.4%) | 0h03m | 0.0049 s/step(wall) | 0.0046 s/step(warpx) | ETA ~0h04m | x1.08 | load 30.8 | laser nan of peak, Eabs 0 J
2026-07-28T18:12:07 | 51426/102400 (50.2%) | 0h04m | 0.0050 s/step(wall) | 0.0046 s/step(warpx) | ETA ~0h04m | x1.09 | load 29.9 | laser nan of peak, Eabs 0 J
2026-07-28T18:13:07 | 63595/102400 (62.1%) | 0h05m | 0.0049 s/step(wall) | 0.0047 s/step(warpx) | ETA ~0h03m | x1.06 | load 29.2 | laser nan of peak, Eabs 0 J
2026-07-28T18:14:07 | 75577/102400 (73.8%) | 0h06m | 0.0050 s/step(wall) | 0.0047 s/step(warpx) | ETA ~0h02m | x1.07 | load 30.6 | laser nan of peak, Eabs 0 J
2026-07-28T18:15:07 | 87397/102400 (85.3%) | 0h07m | 0.0051 s/step(wall) | 0.0048 s/step(warpx) | ETA ~0h01m | x1.07 | load 30.5 | laser nan of peak, Eabs 0 J
2026-07-28T18:15:37 | 93183/102400 (91.0%) | 0h07m | 0.0052 s/step(wall) | 0.0048 s/step(warpx) | ETA ~0h00m | x1.09 | load 30.0 | laser nan of peak, Eabs 0 J
2026-07-28T18:16:38 | 102400/102400 (100.0%) | 0h08m | 0.0065 s/step(wall) | 0.0048 s/step(warpx) | ETA ~0h00m | x1.36 | load 29.2 | laser nan of peak, Eabs 0 J
DONE 2026-07-28T18:16:38 | 102400/102400 (100.0%) | total wall 0h08m | mean 0.0050 s/step(wall) | reached max_step
