# WarpX progress — /home/hhelal/LaserProdShock/runs/P1/P1_vac_2d_off
# logging_started 2026-07-29T01:11:55  total_steps=432000  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-07-29T01:12:25 | 1773/432000 ( 0.4%) | 0h00m | 0.0169 s/step(wall) | 0.0162 s/step(warpx) | ETA ~2h01m | x1.05 | load 18.1 | laser OFF (I0 = 0)
2026-07-29T01:23:56 | 44733/432000 (10.4%) | 0h12m | 0.0161 s/step(wall) | 0.0161 s/step(warpx) | ETA ~1h43m | x1.00 | load 18.1 | laser OFF (I0 = 0)
2026-07-29T01:35:28 | 87358/432000 (20.2%) | 0h23m | 0.0162 s/step(wall) | 0.0161 s/step(warpx) | ETA ~1h33m | x1.01 | load 18.4 | laser OFF (I0 = 0)
2026-07-29T01:47:01 | 130063/432000 (30.1%) | 0h35m | 0.0162 s/step(wall) | 0.0162 s/step(warpx) | ETA ~1h21m | x1.00 | load 18.0 | laser OFF (I0 = 0)
2026-07-29T01:59:06 | 174505/432000 (40.4%) | 0h47m | 0.0163 s/step(wall) | 0.0162 s/step(warpx) | ETA ~1h09m | x1.01 | load 18.1 | laser OFF (I0 = 0)
2026-07-29T02:10:41 | 216294/432000 (50.1%) | 0h58m | 0.0166 s/step(wall) | 0.0163 s/step(warpx) | ETA ~0h59m | x1.02 | load 18.2 | laser OFF (I0 = 0)
2026-07-29T02:22:49 | 260403/432000 (60.3%) | 1h10m | 0.0165 s/step(wall) | 0.0163 s/step(warpx) | ETA ~0h47m | x1.01 | load 18.2 | laser OFF (I0 = 0)
2026-07-29T02:34:27 | 304108/432000 (70.4%) | 1h22m | 0.0160 s/step(wall) | 0.0163 s/step(warpx) | ETA ~0h34m | x0.98 | load 19.2 | laser OFF (I0 = 0)
2026-07-29T02:46:07 | 347267/432000 (80.4%) | 1h34m | 0.0162 s/step(wall) | 0.0163 s/step(warpx) | ETA ~0h22m | x1.00 | load 18.0 | laser OFF (I0 = 0)
2026-07-29T02:57:18 | 389209/432000 (90.1%) | 1h45m | 0.0160 s/step(wall) | 0.0162 s/step(warpx) | ETA ~0h11m | x0.99 | load 18.2 | laser OFF (I0 = 0)
2026-07-29T03:09:00 | 432000/432000 (100.0%) | 1h57m | 0.0164 s/step(wall) | 0.0162 s/step(warpx) | ETA ~0h00m | x1.01 | load 17.8 | laser OFF (I0 = 0)
DONE 2026-07-29T03:09:00 | 432000/432000 (100.0%) | total wall 1h57m | mean 0.0163 s/step(wall) | reached max_step
