# WarpX progress — /home/hhelal/LaserProdShock/runs/P1/P1_vac_2d_spot_abl
# logging_started 2026-08-05T20:48:56  total_steps=216000  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-05T20:49:26 | 260/216000 ( 0.1%) | 0h00m | 0.1154 s/step(wall) | 0.1016 s/step(warpx) | ETA ~6h54m | x1.14 | load 17.9 | laser 0.755 of peak, Eabs 0.9618 J
2026-08-05T21:17:57 | 21733/216000 (10.1%) | 0h29m | 0.0797 s/step(wall) | 0.0799 s/step(warpx) | ETA ~4h17m | x1.00 | load 18.1 | laser 0.148 of peak, Eabs 18.29 J
2026-08-05T21:45:59 | 43410/216000 (20.1%) | 0h57m | 0.0776 s/step(wall) | 0.0788 s/step(warpx) | ETA ~3h43m | x0.99 | load 18.1 | laser 0.134 of peak, Eabs 30.85 J
2026-08-05T22:14:33 | 64930/216000 (30.1%) | 1h25m | 0.0796 s/step(wall) | 0.0790 s/step(warpx) | ETA ~3h20m | x1.01 | load 18.1 | laser 0.137 of peak, Eabs 42.87 J
2026-08-05T22:44:38 | 86720/216000 (40.1%) | 1h55m | 0.0829 s/step(wall) | 0.0800 s/step(warpx) | ETA ~2h58m | x1.04 | load 18.3 | laser 0.156 of peak, Eabs 55.82 J
2026-08-05T23:14:15 | 108315/216000 (50.1%) | 2h25m | 0.0823 s/step(wall) | 0.0805 s/step(warpx) | ETA ~2h27m | x1.02 | load 18.2 | laser 0.185 of peak, Eabs 71.03 J
2026-08-05T23:43:54 | 129896/216000 (60.1%) | 2h54m | 0.0824 s/step(wall) | 0.0808 s/step(warpx) | ETA ~1h58m | x1.02 | load 18.1 | laser 0.193 of peak, Eabs 88.12 J
2026-08-06T00:13:35 | 151535/216000 (70.2%) | 3h24m | 0.0823 s/step(wall) | 0.0810 s/step(warpx) | ETA ~1h28m | x1.02 | load 18.1 | laser 0.206 of peak, Eabs 105.8 J
2026-08-06T00:42:47 | 172800/216000 (80.0%) | 3h53m | 0.0824 s/step(wall) | 0.0812 s/step(warpx) | ETA ~0h59m | x1.02 | load 18.2 | laser 0.207 of peak, Eabs 124 J
2026-08-06T01:10:57 | 194410/216000 (90.0%) | 4h22m | 0.0782 s/step(wall) | 0.0808 s/step(warpx) | ETA ~0h28m | x0.97 | load 2.0 | laser 0.217 of peak, Eabs 142.6 J
2026-08-06T01:38:36 | 216000/216000 (100.0%) | 4h49m | 0.0768 s/step(wall) | 0.0803 s/step(warpx) | ETA ~0h00m | x0.96 | load 1.4 | laser 0.226 of peak, Eabs 162.1 J
DONE 2026-08-06T01:38:36 | 216000/216000 (100.0%) | total wall 4h49m | mean 0.0805 s/step(wall) | reached max_step
