# WarpX progress — /home/hhelal/LaserProdShock/runs/P4/P4_lez_hyb_bg3
# logging_started 2026-08-13T23:06:50  total_steps=276480  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-13T23:07:20 | 1355/276480 ( 0.5%) | 0h00m | 0.0221 s/step(wall) | 0.0216 s/step(warpx) | ETA ~1h41m | x1.03 | load 20.4 | laser 0.658 of peak, Eabs 2.101e+04 J
2026-08-13T23:16:51 | 28489/276480 (10.3%) | 0h10m | 0.0210 s/step(wall) | 0.0210 s/step(warpx) | ETA ~1h26m | x1.00 | load 25.8 | laser 0.150 of peak, Eabs 1.379e+05 J
2026-08-13T23:26:23 | 55770/276480 (20.2%) | 0h19m | 0.0210 s/step(wall) | 0.0210 s/step(warpx) | ETA ~1h17m | x1.00 | load 25.3 | laser 0.247 of peak, Eabs 2.596e+05 J
2026-08-13T23:35:55 | 84200/276480 (30.5%) | 0h29m | 0.0201 s/step(wall) | 0.0207 s/step(warpx) | ETA ~1h04m | x0.97 | load 25.2 | laser 0.378 of peak, Eabs 4.351e+05 J
2026-08-13T23:43:59 | 110601/276480 (40.0%) | 0h37m | 0.0183 s/step(wall) | 0.0201 s/step(warpx) | ETA ~0h50m | x0.91 | load 24.3 | laser 0.410 of peak, Eabs 6.214e+05 J
2026-08-13T23:52:02 | 138681/276480 (50.2%) | 0h45m | 0.0172 s/step(wall) | 0.0195 s/step(warpx) | ETA ~0h39m | x0.88 | load 24.0 | laser 0.447 of peak, Eabs 8.354e+05 J
2026-08-14T00:00:06 | 167793/276480 (60.7%) | 0h53m | 0.0166 s/step(wall) | 0.0190 s/step(warpx) | ETA ~0h30m | x0.87 | load 24.1 | laser 0.401 of peak, Eabs 1.068e+06 J
2026-08-14T00:07:41 | 194454/276480 (70.3%) | 1h00m | 0.0171 s/step(wall) | 0.0188 s/step(warpx) | ETA ~0h23m | x0.91 | load 24.0 | laser 0.490 of peak, Eabs 1.289e+06 J
2026-08-14T00:15:18 | 221576/276480 (80.1%) | 1h08m | 0.0168 s/step(wall) | 0.0185 s/step(warpx) | ETA ~0h15m | x0.91 | load 24.2 | laser 0.450 of peak, Eabs 1.517e+06 J
2026-08-14T00:22:56 | 249200/276480 (90.1%) | 1h16m | 0.0166 s/step(wall) | 0.0183 s/step(warpx) | ETA ~0h07m | x0.91 | load 24.2 | laser 0.495 of peak, Eabs 1.751e+06 J
2026-08-14T00:30:34 | 276480/276480 (100.0%) | 1h23m | 0.0168 s/step(wall) | 0.0181 s/step(warpx) | ETA ~0h00m | x0.93 | load 23.7 | laser 0.393 of peak, Eabs 1.99e+06 J
DONE 2026-08-14T00:30:34 | 276480/276480 (100.0%) | total wall 1h23m | mean 0.0182 s/step(wall) | reached max_step
