# WarpX progress — /home/hhelal/LaserProdShock/runs/P4/P4_lez_kin
# logging_started 2026-08-13T12:41:32  total_steps=552960  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-13T12:42:02 | 13259/552960 ( 2.4%) | 0h00m | 0.0023 s/step(wall) | 0.0022 s/step(warpx) | ETA ~0h20m | x1.05 | load 36.3 | laser 0.077 of peak, Eabs 3.621e+04 J
2026-08-13T12:43:32 | 57140/552960 (10.3%) | 0h02m | 0.0021 s/step(wall) | 0.0021 s/step(warpx) | ETA ~0h16m | x1.00 | load 35.6 | laser 0.230 of peak, Eabs 1.331e+05 J
2026-08-13T12:45:33 | 122009/552960 (22.1%) | 0h04m | 0.0019 s/step(wall) | 0.0019 s/step(warpx) | ETA ~0h13m | x0.96 | load 35.7 | laser 0.515 of peak, Eabs 4.767e+05 J
2026-08-13T12:47:04 | 173299/552960 (31.3%) | 0h05m | 0.0018 s/step(wall) | 0.0019 s/step(warpx) | ETA ~0h11m | x0.94 | load 36.4 | laser 0.862 of peak, Eabs 8.574e+05 J
2026-08-13T12:48:34 | 223420/552960 (40.4%) | 0h07m | 0.0018 s/step(wall) | 0.0019 s/step(warpx) | ETA ~0h09m | x0.98 | load 35.1 | laser 0.830 of peak, Eabs 1.276e+06 J
2026-08-13T12:50:36 | 291180/552960 (52.7%) | 0h09m | 0.0018 s/step(wall) | 0.0018 s/step(warpx) | ETA ~0h07m | x0.98 | load 35.0 | laser 0.946 of peak, Eabs 1.908e+06 J
2026-08-13T12:52:08 | 342774/552960 (62.0%) | 0h10m | 0.0018 s/step(wall) | 0.0018 s/step(warpx) | ETA ~0h06m | x0.97 | load 34.2 | laser 0.985 of peak, Eabs 2.406e+06 J
2026-08-13T12:53:39 | 393889/552960 (71.2%) | 0h12m | 0.0018 s/step(wall) | 0.0018 s/step(warpx) | ETA ~0h04m | x0.99 | load 34.7 | laser 0.955 of peak, Eabs 2.901e+06 J
2026-08-13T12:55:11 | 448150/552960 (81.0%) | 0h13m | 0.0017 s/step(wall) | 0.0018 s/step(warpx) | ETA ~0h02m | x0.94 | load 42.3 | laser 1.000 of peak, Eabs 3.423e+06 J
2026-08-13T12:56:43 | 502910/552960 (90.9%) | 0h15m | 0.0017 s/step(wall) | 0.0018 s/step(warpx) | ETA ~0h01m | x0.95 | load 38.2 | laser 0.999 of peak, Eabs 3.955e+06 J
2026-08-13T12:58:16 | 552960/552960 (100.0%) | 0h16m | 0.0018 s/step(wall) | 0.0018 s/step(warpx) | ETA ~0h00m | x1.05 | load 36.6 | laser 1.000 of peak, Eabs 4.444e+06 J
DONE 2026-08-13T12:58:16 | 552960/552960 (100.0%) | total wall 0h16m | mean 0.0018 s/step(wall) | reached max_step
