# WarpX progress — /home/hhelal/LaserProdShock/runs/P4/P4_lez_kin_ic6_coldsolid
# logging_started 2026-08-20T17:40:09  total_steps=110592  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-20T17:40:39 | 11667/110592 (10.5%) | 0h00m | 0.0026 s/step(wall) | 0.0025 s/step(warpx) | ETA ~0h04m | x1.03 | load 1.4 | laser 0.161 of peak, Eabs 3.009e+04 J
2026-08-20T17:41:40 | 29671/110592 (26.8%) | 0h01m | 0.0033 s/step(wall) | 0.0030 s/step(warpx) | ETA ~0h04m | x1.11 | load 1.8 | laser 0.335 of peak, Eabs 8.051e+04 J
2026-08-20T17:42:10 | 38701/110592 (35.0%) | 0h02m | 0.0033 s/step(wall) | 0.0031 s/step(warpx) | ETA ~0h03m | x1.08 | load 1.9 | laser 0.260 of peak, Eabs 1.151e+05 J
2026-08-20T17:42:40 | 47523/110592 (43.0%) | 0h02m | 0.0034 s/step(wall) | 0.0031 s/step(warpx) | ETA ~0h03m | x1.09 | load 2.0 | laser 0.353 of peak, Eabs 1.439e+05 J
2026-08-20T17:43:10 | 56187/110592 (50.8%) | 0h03m | 0.0035 s/step(wall) | 0.0032 s/step(warpx) | ETA ~0h03m | x1.09 | load 2.0 | laser 0.313 of peak, Eabs 1.682e+05 J
2026-08-20T17:44:10 | 73832/110592 (66.8%) | 0h04m | 0.0034 s/step(wall) | 0.0032 s/step(warpx) | ETA ~0h02m | x1.05 | load 2.0 | laser 0.536 of peak, Eabs 2.35e+05 J
2026-08-20T17:44:40 | 82864/110592 (74.9%) | 0h04m | 0.0033 s/step(wall) | 0.0032 s/step(warpx) | ETA ~0h01m | x1.03 | load 2.0 | laser 0.313 of peak, Eabs 2.631e+05 J
2026-08-20T17:45:10 | 91910/110592 (83.1%) | 0h05m | 0.0033 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h01m | x1.02 | load 2.0 | laser 0.645 of peak, Eabs 2.994e+05 J
2026-08-20T17:45:40 | 101090/110592 (91.4%) | 0h05m | 0.0033 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h00m | x1.01 | load 2.0 | laser 0.414 of peak, Eabs 3.429e+05 J
2026-08-20T17:46:40 | 110592/110592 (100.0%) | 0h06m | 0.0063 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h00m | x1.95 | load 1.8 | laser 0.351 of peak, Eabs 3.863e+05 J
DONE 2026-08-20T17:46:40 | 110592/110592 (100.0%) | total wall 0h06m | mean 0.0035 s/step(wall) | reached max_step
# WarpX progress — /home/hhelal/LaserProdShock/runs/P4/P4_lez_kin_ic6_coldsolid
# logging_started 2026-08-20T17:53:03  total_steps=110592  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-20T17:53:33 | 11611/110592 (10.5%) | 0h00m | 0.0026 s/step(wall) | 0.0025 s/step(warpx) | ETA ~0h04m | x1.03 | load 2.7 | laser 0.186 of peak, Eabs 2.958e+04 J
2026-08-20T17:54:33 | 29995/110592 (27.1%) | 0h01m | 0.0033 s/step(wall) | 0.0030 s/step(warpx) | ETA ~0h04m | x1.10 | load 2.2 | laser 0.385 of peak, Eabs 8.247e+04 J
2026-08-20T17:55:03 | 38555/110592 (34.9%) | 0h02m | 0.0035 s/step(wall) | 0.0031 s/step(warpx) | ETA ~0h04m | x1.14 | load 2.1 | laser 0.237 of peak, Eabs 1.139e+05 J
2026-08-20T17:55:33 | 47211/110592 (42.7%) | 0h02m | 0.0035 s/step(wall) | 0.0032 s/step(warpx) | ETA ~0h03m | x1.10 | load 2.1 | laser 0.227 of peak, Eabs 1.395e+05 J
2026-08-20T17:56:03 | 56000/110592 (50.6%) | 0h03m | 0.0034 s/step(wall) | 0.0032 s/step(warpx) | ETA ~0h03m | x1.07 | load 2.1 | laser 0.359 of peak, Eabs 1.638e+05 J
2026-08-20T17:57:03 | 73467/110592 (66.4%) | 0h04m | 0.0034 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h02m | x1.06 | load 2.0 | laser 0.264 of peak, Eabs 2.145e+05 J
2026-08-20T17:57:34 | 82250/110592 (74.4%) | 0h04m | 0.0034 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h01m | x1.05 | load 2.0 | laser 0.337 of peak, Eabs 2.389e+05 J
2026-08-20T17:58:04 | 91039/110592 (82.3%) | 0h05m | 0.0034 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h01m | x1.04 | load 2.0 | laser 0.571 of peak, Eabs 2.699e+05 J
2026-08-20T17:58:34 | 99859/110592 (90.3%) | 0h05m | 0.0034 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h00m | x1.03 | load 2.1 | laser 0.368 of peak, Eabs 3.068e+05 J
2026-08-20T17:59:34 | 110592/110592 (100.0%) | 0h06m | 0.0056 s/step(wall) | 0.0033 s/step(warpx) | ETA ~0h00m | x1.69 | load 1.8 | laser 0.354 of peak, Eabs 3.481e+05 J
DONE 2026-08-20T17:59:34 | 110592/110592 (100.0%) | total wall 0h06m | mean 0.0035 s/step(wall) | reached max_step
