# WarpX progress — /home/hhelal/LaserProdShock/runs/P4/P4_lez_kin_ic6_coll1
# logging_started 2026-08-19T21:29:35  total_steps=110592  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-19T21:30:05 | 6596/110592 ( 6.0%) | 0h00m | 0.0045 s/step(wall) | 0.0044 s/step(warpx) | ETA ~0h07m | x1.03 | load 0.6 | laser 0.142 of peak, Eabs 1.6e+04 J
2026-08-19T21:30:35 | 11497/110592 (10.4%) | 0h01m | 0.0061 s/step(wall) | 0.0051 s/step(warpx) | ETA ~0h10m | x1.19 | load 0.7 | laser 0.102 of peak, Eabs 2.234e+04 J
2026-08-19T21:32:05 | 23366/110592 (21.1%) | 0h02m | 0.0076 s/step(wall) | 0.0064 s/step(warpx) | ETA ~0h11m | x1.19 | load 1.0 | laser 0.124 of peak, Eabs 3.377e+04 J
2026-08-19T21:33:35 | 34951/110592 (31.6%) | 0h04m | 0.0078 s/step(wall) | 0.0068 s/step(warpx) | ETA ~0h09m | x1.14 | load 1.1 | laser 0.124 of peak, Eabs 5.099e+04 J
2026-08-19T21:35:05 | 46469/110592 (42.0%) | 0h05m | 0.0078 s/step(wall) | 0.0071 s/step(warpx) | ETA ~0h08m | x1.11 | load 1.1 | laser 0.112 of peak, Eabs 6.729e+04 J
2026-08-19T21:36:36 | 57837/110592 (52.3%) | 0h07m | 0.0079 s/step(wall) | 0.0072 s/step(warpx) | ETA ~0h06m | x1.09 | load 1.0 | laser 0.239 of peak, Eabs 8.454e+04 J
2026-08-19T21:38:06 | 69502/110592 (62.8%) | 0h08m | 0.0077 s/step(wall) | 0.0073 s/step(warpx) | ETA ~0h05m | x1.06 | load 1.1 | laser 0.196 of peak, Eabs 1.079e+05 J
2026-08-19T21:39:06 | 77462/110592 (70.0%) | 0h09m | 0.0076 s/step(wall) | 0.0073 s/step(warpx) | ETA ~0h04m | x1.03 | load 1.1 | laser 0.238 of peak, Eabs 1.237e+05 J
2026-08-19T21:40:36 | 89574/110592 (81.0%) | 0h11m | 0.0074 s/step(wall) | 0.0074 s/step(warpx) | ETA ~0h02m | x1.01 | load 1.0 | laser 0.363 of peak, Eabs 1.53e+05 J
2026-08-19T21:42:06 | 101639/110592 (91.9%) | 0h12m | 0.0075 s/step(wall) | 0.0074 s/step(warpx) | ETA ~0h01m | x1.01 | load 1.1 | laser 0.255 of peak, Eabs 1.848e+05 J
2026-08-19T21:43:37 | 110592/110592 (100.0%) | 0h14m | 0.0101 s/step(wall) | 0.0073 s/step(warpx) | ETA ~0h00m | x1.37 | load 0.7 | laser 0.261 of peak, Eabs 2.054e+05 J
DONE 2026-08-19T21:43:37 | 110592/110592 (100.0%) | total wall 0h14m | mean 0.0076 s/step(wall) | reached max_step
