# WarpX progress — /home/hhelal/LaserProdShock/runs/P4/P4_lez_kin_ic6_tfloor
# logging_started 2026-08-19T21:59:49  total_steps=110592  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-19T22:00:19 | 12510/110592 (11.3%) | 0h00m | 0.0024 s/step(wall) | 0.0023 s/step(warpx) | ETA ~0h03m | x1.03 | load 0.8 | laser 0.259 of peak, Eabs 3.767e+04 J
2026-08-19T22:00:49 | 22783/110592 (20.6%) | 0h01m | 0.0029 s/step(wall) | 0.0026 s/step(warpx) | ETA ~0h04m | x1.13 | load 1.3 | laser 0.359 of peak, Eabs 7.219e+04 J
2026-08-19T22:01:49 | 43060/110592 (38.9%) | 0h02m | 0.0030 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h03m | x1.07 | load 1.8 | laser 0.404 of peak, Eabs 1.61e+05 J
2026-08-19T22:02:19 | 53270/110592 (48.2%) | 0h02m | 0.0029 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h02m | x1.05 | load 1.9 | laser 0.603 of peak, Eabs 2.11e+05 J
2026-08-19T22:02:49 | 63601/110592 (57.5%) | 0h03m | 0.0029 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h02m | x1.03 | load 1.9 | laser 0.529 of peak, Eabs 2.656e+05 J
2026-08-19T22:03:19 | 73971/110592 (66.9%) | 0h03m | 0.0029 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h01m | x1.03 | load 2.0 | laser 0.566 of peak, Eabs 3.152e+05 J
2026-08-19T22:03:49 | 84456/110592 (76.4%) | 0h04m | 0.0029 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h01m | x1.01 | load 2.0 | laser 0.426 of peak, Eabs 3.716e+05 J
2026-08-19T22:04:20 | 95050/110592 (85.9%) | 0h04m | 0.0028 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h00m | x1.00 | load 2.3 | laser 0.591 of peak, Eabs 4.315e+05 J
2026-08-19T22:04:50 | 105663/110592 (95.5%) | 0h05m | 0.0028 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h00m | x1.00 | load 2.5 | laser 0.718 of peak, Eabs 4.956e+05 J
2026-08-19T22:05:20 | 110592/110592 (100.0%) | 0h05m | 0.0061 s/step(wall) | 0.0028 s/step(warpx) | ETA ~0h00m | x2.16 | load 2.1 | laser 0.486 of peak, Eabs 5.257e+05 J
DONE 2026-08-19T22:05:20 | 110592/110592 (100.0%) | total wall 0h05m | mean 0.0030 s/step(wall) | reached max_step
