# WarpX progress — /pscratch/sd/h/hhelal/LaserProdShock/runs/P5/P5_Ln_010_fine
# logging_started 2026-08-31T22:24:51  total_steps=20300  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-31T22:25:21 | 2020/20300 (10.0%) | 0h00m | 0.0149 s/step(wall) | 0.0138 s/step(warpx) | ETA ~0h04m | x1.08 | load 1.3 | laser 0.962 of peak, Eabs 6650 J
2026-08-31T22:25:51 | 4151/20300 (20.4%) | 0h01m | 0.0141 s/step(wall) | 0.0139 s/step(warpx) | ETA ~0h03m | x1.01 | load 1.2 | laser 0.603 of peak, Eabs 1.381e+04 J
2026-08-31T22:26:21 | 6250/20300 (30.8%) | 0h01m | 0.0143 s/step(wall) | 0.0140 s/step(warpx) | ETA ~0h03m | x1.02 | load 1.2 | laser 0.345 of peak, Eabs 2.092e+04 J
2026-08-31T22:26:51 | 8273/20300 (40.8%) | 0h02m | 0.0148 s/step(wall) | 0.0142 s/step(warpx) | ETA ~0h02m | x1.04 | load 1.2 | laser 0.432 of peak, Eabs 2.825e+04 J
2026-08-31T22:27:21 | 10240/20300 (50.4%) | 0h02m | 0.0153 s/step(wall) | 0.0144 s/step(warpx) | ETA ~0h02m | x1.06 | load 1.3 | laser 0.406 of peak, Eabs 3.588e+04 J
2026-08-31T22:28:21 | 14050/20300 (69.2%) | 0h03m | 0.0158 s/step(wall) | 0.0148 s/step(warpx) | ETA ~0h01m | x1.07 | load 1.4 | laser 0.333 of peak, Eabs 5.077e+04 J
2026-08-31T22:28:51 | 15900/20300 (78.3%) | 0h04m | 0.0162 s/step(wall) | 0.0149 s/step(warpx) | ETA ~0h01m | x1.09 | load 1.4 | laser 0.444 of peak, Eabs 5.85e+04 J
2026-08-31T22:29:21 | 17730/20300 (87.3%) | 0h04m | 0.0164 s/step(wall) | 0.0151 s/step(warpx) | ETA ~0h00m | x1.09 | load 1.4 | laser 0.459 of peak, Eabs 6.632e+04 J
2026-08-31T22:29:51 | 19560/20300 (96.4%) | 0h05m | 0.0164 s/step(wall) | 0.0152 s/step(warpx) | ETA ~0h00m | x1.08 | load 1.4 | laser 0.426 of peak, Eabs 7.448e+04 J
2026-08-31T22:30:21 | 20300/20300 (100.0%) | 0h05m | 0.0406 s/step(wall) | 0.0153 s/step(warpx) | ETA ~0h00m | x2.66 | load 1.2 | laser 0.441 of peak, Eabs 7.79e+04 J
DONE 2026-08-31T22:30:21 | 20300/20300 (100.0%) | total wall 0h05m | mean 0.0163 s/step(wall) | reached max_step
