# WarpX progress — /pscratch/sd/h/hhelal/LaserProdShock/runs/P5/P5_gridheat_dz025
# logging_started 2026-09-01T17:43:16  total_steps=40600  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-09-01T17:43:46 | 1039/40600 ( 2.6%) | 0h00m | 0.0289 s/step(wall) | 0.0231 s/step(warpx) | ETA ~0h19m | x1.25 | load 0.8 | laser OFF (I0 = 0)
2026-09-01T17:45:16 | 4990/40600 (12.3%) | 0h02m | 0.0228 s/step(wall) | 0.0228 s/step(warpx) | ETA ~0h13m | x1.00 | load 1.3 | laser OFF (I0 = 0)
2026-09-01T17:46:46 | 8820/40600 (21.7%) | 0h03m | 0.0235 s/step(wall) | 0.0231 s/step(warpx) | ETA ~0h12m | x1.02 | load 1.3 | laser OFF (I0 = 0)
2026-09-01T17:48:16 | 12764/40600 (31.4%) | 0h05m | 0.0228 s/step(wall) | 0.0230 s/step(warpx) | ETA ~0h10m | x0.99 | load 1.4 | laser OFF (I0 = 0)
2026-09-01T17:49:46 | 16580/40600 (40.8%) | 0h06m | 0.0236 s/step(wall) | 0.0232 s/step(warpx) | ETA ~0h09m | x1.02 | load 1.3 | laser OFF (I0 = 0)
2026-09-01T17:51:16 | 20510/40600 (50.5%) | 0h08m | 0.0229 s/step(wall) | 0.0231 s/step(warpx) | ETA ~0h07m | x0.99 | load 1.8 | laser OFF (I0 = 0)
2026-09-01T17:53:16 | 25618/40600 (63.1%) | 0h10m | 0.0235 s/step(wall) | 0.0232 s/step(warpx) | ETA ~0h05m | x1.01 | load 1.5 | laser OFF (I0 = 0)
2026-09-01T17:54:46 | 29523/40600 (72.7%) | 0h11m | 0.0231 s/step(wall) | 0.0232 s/step(warpx) | ETA ~0h04m | x1.00 | load 1.5 | laser OFF (I0 = 0)
2026-09-01T17:56:16 | 33290/40600 (82.0%) | 0h13m | 0.0239 s/step(wall) | 0.0233 s/step(warpx) | ETA ~0h02m | x1.03 | load 1.4 | laser OFF (I0 = 0)
2026-09-01T17:57:46 | 37149/40600 (91.5%) | 0h14m | 0.0234 s/step(wall) | 0.0233 s/step(warpx) | ETA ~0h01m | x1.00 | load 1.2 | laser OFF (I0 = 0)
2026-09-01T17:59:16 | 40600/40600 (100.0%) | 0h16m | 0.0261 s/step(wall) | 0.0233 s/step(warpx) | ETA ~0h00m | x1.12 | load 1.3 | laser OFF (I0 = 0)
DONE 2026-09-01T17:59:16 | 40600/40600 (100.0%) | total wall 0h16m | mean 0.0237 s/step(wall) | reached max_step
