# WarpX progress — /pscratch/sd/h/hhelal/LaserProdShock/runs/P5/P5_raycfl_050
# logging_started 2026-08-29T22:09:57  total_steps=20300  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-29T22:10:27 | 1960/20300 ( 9.7%) | 0h00m | 0.0153 s/step(wall) | 0.0132 s/step(warpx) | ETA ~0h04m | x1.16 | load 0.9 | laser 0.795 of peak, Eabs 7848 J
2026-08-29T22:10:57 | 4128/20300 (20.3%) | 0h01m | 0.0138 s/step(wall) | 0.0135 s/step(warpx) | ETA ~0h03m | x1.02 | load 1.0 | laser 0.706 of peak, Eabs 1.726e+04 J
2026-08-29T22:11:27 | 6410/20300 (31.6%) | 0h01m | 0.0132 s/step(wall) | 0.0134 s/step(warpx) | ETA ~0h03m | x0.98 | load 1.1 | laser 0.406 of peak, Eabs 2.69e+04 J
2026-08-29T22:11:57 | 8574/20300 (42.2%) | 0h02m | 0.0139 s/step(wall) | 0.0135 s/step(warpx) | ETA ~0h02m | x1.03 | load 1.6 | laser 0.512 of peak, Eabs 3.65e+04 J
2026-08-29T22:12:27 | 10833/20300 (53.4%) | 0h02m | 0.0133 s/step(wall) | 0.0135 s/step(warpx) | ETA ~0h02m | x0.99 | load 1.6 | laser 0.398 of peak, Eabs 4.661e+04 J
2026-08-29T22:12:57 | 12980/20300 (63.9%) | 0h03m | 0.0140 s/step(wall) | 0.0136 s/step(warpx) | ETA ~0h01m | x1.03 | load 1.6 | laser 0.406 of peak, Eabs 5.594e+04 J
2026-08-29T22:13:27 | 15203/20300 (74.9%) | 0h03m | 0.0135 s/step(wall) | 0.0135 s/step(warpx) | ETA ~0h01m | x1.00 | load 1.5 | laser 0.445 of peak, Eabs 6.632e+04 J
2026-08-29T22:13:57 | 17300/20300 (85.2%) | 0h04m | 0.0143 s/step(wall) | 0.0136 s/step(warpx) | ETA ~0h00m | x1.05 | load 1.4 | laser 0.408 of peak, Eabs 7.61e+04 J
2026-08-29T22:14:27 | 19479/20300 (96.0%) | 0h04m | 0.0138 s/step(wall) | 0.0137 s/step(warpx) | ETA ~0h00m | x1.01 | load 1.4 | laser 0.352 of peak, Eabs 8.539e+04 J
2026-08-29T22:14:57 | 20300/20300 (100.0%) | 0h05m | 0.0366 s/step(wall) | 0.0137 s/step(warpx) | ETA ~0h00m | x2.66 | load 1.2 | laser 0.470 of peak, Eabs 8.871e+04 J
DONE 2026-08-29T22:14:57 | 20300/20300 (100.0%) | total wall 0h05m | mean 0.0148 s/step(wall) | reached max_step
