# WarpX progress — /pscratch/sd/h/hhelal/LaserProdShock/runs/P5/P5_raycfl_off
# logging_started 2026-08-31T16:56:08  total_steps=20300  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-31T16:56:38 | 2173/20300 (10.7%) | 0h00m | 0.0138 s/step(wall) | 0.0120 s/step(warpx) | ETA ~0h04m | x1.15 | load 16.5 | laser OFF (I0 = 0)
2026-08-31T16:57:08 | 4580/20300 (22.6%) | 0h01m | 0.0125 s/step(wall) | 0.0122 s/step(warpx) | ETA ~0h03m | x1.02 | load 10.5 | laser OFF (I0 = 0)
2026-08-31T16:57:38 | 7095/20300 (35.0%) | 0h01m | 0.0119 s/step(wall) | 0.0121 s/step(warpx) | ETA ~0h02m | x0.99 | load 7.2 | laser OFF (I0 = 0)
2026-08-31T16:58:08 | 9485/20300 (46.7%) | 0h02m | 0.0126 s/step(wall) | 0.0122 s/step(warpx) | ETA ~0h02m | x1.03 | load 4.9 | laser OFF (I0 = 0)
2026-08-31T16:58:38 | 11973/20300 (59.0%) | 0h02m | 0.0121 s/step(wall) | 0.0122 s/step(warpx) | ETA ~0h01m | x0.99 | load 3.5 | laser OFF (I0 = 0)
2026-08-31T16:59:08 | 14324/20300 (70.6%) | 0h03m | 0.0128 s/step(wall) | 0.0123 s/step(warpx) | ETA ~0h01m | x1.04 | load 2.8 | laser OFF (I0 = 0)
2026-08-31T16:59:38 | 16651/20300 (82.0%) | 0h03m | 0.0129 s/step(wall) | 0.0124 s/step(warpx) | ETA ~0h00m | x1.04 | load 2.4 | laser OFF (I0 = 0)
2026-08-31T17:00:08 | 19060/20300 (93.9%) | 0h04m | 0.0125 s/step(wall) | 0.0124 s/step(warpx) | ETA ~0h00m | x1.01 | load 2.0 | laser OFF (I0 = 0)
2026-08-31T17:00:38 | 20300/20300 (100.0%) | 0h04m | 0.0242 s/step(wall) | 0.0125 s/step(warpx) | ETA ~0h00m | x1.94 | load 1.6 | laser OFF (I0 = 0)
DONE 2026-08-31T17:00:38 | 20300/20300 (100.0%) | total wall 0h04m | mean 0.0133 s/step(wall) | reached max_step
