# WarpX progress — /pscratch/sd/h/hhelal/LaserProdShock/runs/P5/P5_seed
# logging_started 2026-08-30T17:30:33  total_steps=2031000  every=10%  poll=30s
# wall_time | step/total (pct) | wall_elapsed | wall_rate | warpx_rate | ETA_wall | contention | load [| laser Pabs/Pmax, Eabs]
2026-08-30T17:31:03 | 1080/2031000 ( 0.1%) | 0h00m | 0.0278 s/step(wall) | 0.0248 s/step(warpx) | ETA ~15h39m | x1.12 | load 17.6 | laser 0.961 of peak, Eabs 5065 J
2026-08-30T19:08:57 | 203800/2031000 (10.0%) | 1h38m | 0.0290 s/step(wall) | 0.0289 s/step(warpx) | ETA ~14h42m | x1.00 | load 18.4 | laser 0.719 of peak, Eabs 1.234e+06 J
2026-08-30T20:59:45 | 406747/2031000 (20.0%) | 3h29m | 0.0328 s/step(wall) | 0.0308 s/step(warpx) | ETA ~14h46m | x1.06 | load 17.9 | laser 0.784 of peak, Eabs 2.677e+06 J
2026-08-30T22:53:28 | 609400/2031000 (30.0%) | 5h22m | 0.0337 s/step(wall) | 0.0318 s/step(warpx) | ETA ~13h17m | x1.06 | load 17.2 | laser 0.777 of peak, Eabs 4.221e+06 J
2026-08-31T00:46:33 | 812590/2031000 (40.0%) | 7h15m | 0.0334 s/step(wall) | 0.0322 s/step(warpx) | ETA ~11h18m | x1.04 | load 18.4 | laser 0.867 of peak, Eabs 5.833e+06 J
2026-08-31T02:38:27 | 1016140/2031000 (50.0%) | 9h07m | 0.0330 s/step(wall) | 0.0323 s/step(warpx) | ETA ~9h17m | x1.02 | load 15.8 | laser 0.852 of peak, Eabs 7.528e+06 J
2026-08-31T04:30:12 | 1219265/2031000 (60.0%) | 10h59m | 0.0330 s/step(wall) | 0.0324 s/step(warpx) | ETA ~7h26m | x1.02 | load 17.7 | laser 0.881 of peak, Eabs 9.247e+06 J
2026-08-31T06:22:19 | 1422411/2031000 (70.0%) | 12h51m | 0.0331 s/step(wall) | 0.0325 s/step(warpx) | ETA ~5h35m | x1.02 | load 18.1 | laser 0.905 of peak, Eabs 1.101e+07 J
2026-08-31T08:14:15 | 1625600/2031000 (80.0%) | 14h43m | 0.0331 s/step(wall) | 0.0326 s/step(warpx) | ETA ~3h43m | x1.01 | load 15.5 | laser 0.873 of peak, Eabs 1.281e+07 J
2026-08-31T10:05:59 | 1828130/2031000 (90.0%) | 16h35m | 0.0331 s/step(wall) | 0.0327 s/step(warpx) | ETA ~1h51m | x1.01 | load 17.1 | laser 0.898 of peak, Eabs 1.463e+07 J
2026-08-31T11:59:07 | 2031000/2031000 (100.0%) | 18h28m | 0.0335 s/step(wall) | 0.0327 s/step(warpx) | ETA ~0h00m | x1.02 | load 15.6 | laser 0.927 of peak, Eabs 1.645e+07 J
DONE 2026-08-31T11:59:07 | 2031000/2031000 (100.0%) | total wall 18h28m | mean 0.0327 s/step(wall) | reached max_step
