# refraction=1, step 0, on-axis |x|<5 d_e
# z/d_e   P_abs [W/m^3]   n_e/n_cr
-1.9975000e+02  0.0000000e+00  1.3121572e+00
-1.9925000e+02  0.0000000e+00  1.5002316e+00
-1.9875000e+02  0.0000000e+00  1.4996734e+00
-1.9825000e+02  0.0000000e+00  1.4994438e+00
-1.9775000e+02  0.0000000e+00  1.5000648e+00
-1.9725000e+02  0.0000000e+00  1.4995887e+00
-1.9675000e+02  0.0000000e+00  1.5001616e+00
-1.9625000e+02  0.0000000e+00  1.4994407e+00
-1.9575000e+02  0.0000000e+00  1.4999862e+00
-1.9525000e+02  0.0000000e+00  1.4995939e+00
-1.9475000e+02  0.0000000e+00  1.4995425e+00
-1.9425000e+02  0.0000000e+00  1.4999683e+00
-1.9375000e+02  0.0000000e+00  1.4998959e+00
-1.9325000e+02  0.0000000e+00  1.4999104e+00
-1.9275000e+02  0.0000000e+00  1.4998968e+00
-1.9225000e+02  0.0000000e+00  1.4993390e+00
-1.9175000e+02  0.0000000e+00  1.4998896e+00
-1.9125000e+02  0.0000000e+00  1.4999822e+00
-1.9075000e+02  0.0000000e+00  1.4995135e+00
-1.9025000e+02  0.0000000e+00  1.4995645e+00
-1.8975000e+02  0.0000000e+00  1.5000152e+00
-1.8925000e+02  0.0000000e+00  1.4998798e+00
-1.8875000e+02  0.0000000e+00  1.4996932e+00
-1.8825000e+02  0.0000000e+00  1.4998120e+00
-1.8775000e+02  0.0000000e+00  1.4995402e+00
-1.8725000e+02  0.0000000e+00  1.5001705e+00
-1.8675000e+02  0.0000000e+00  1.4995835e+00
-1.8625000e+02  0.0000000e+00  1.4997029e+00
-1.8575000e+02  0.0000000e+00  1.4998469e+00
-1.8525000e+02  0.0000000e+00  1.4998334e+00
-1.8475000e+02  0.0000000e+00  1.4995028e+00
-1.8425000e+02  0.0000000e+00  1.4997809e+00
-1.8375000e+02  0.0000000e+00  1.4999942e+00
-1.8325000e+02  0.0000000e+00  1.4995812e+00
-1.8275000e+02  0.0000000e+00  1.5000797e+00
-1.8225000e+02  0.0000000e+00  1.4996643e+00
-1.8175000e+02  0.0000000e+00  1.4996906e+00
-1.8125000e+02  0.0000000e+00  1.4996993e+00
-1.8075000e+02  0.0000000e+00  1.4996921e+00
-1.8025000e+02  0.0000000e+00  1.4999507e+00
-1.7975000e+02  0.0000000e+00  1.4996958e+00
-1.7925000e+02  0.0000000e+00  1.4997904e+00
-1.7875000e+02  0.0000000e+00  1.4996380e+00
-1.7825000e+02  0.0000000e+00  1.4997852e+00
-1.7775000e+02  0.0000000e+00  1.5000654e+00
-1.7725000e+02  0.0000000e+00  1.4995614e+00
-1.7675000e+02  0.0000000e+00  1.4998464e+00
-1.7625000e+02  0.0000000e+00  1.4995277e+00
-1.7575000e+02  0.0000000e+00  1.4998837e+00
-1.7525000e+02  0.0000000e+00  1.4997979e+00
-1.7475000e+02  0.0000000e+00  1.4998641e+00
-1.7425000e+02  0.0000000e+00  1.4998780e+00
-1.7375000e+02  0.0000000e+00  1.4995513e+00
-1.7325000e+02  0.0000000e+00  1.4997990e+00
-1.7275000e+02  0.0000000e+00  1.4999761e+00
-1.7225000e+02  0.0000000e+00  1.4994841e+00
-1.7175000e+02  0.0000000e+00  1.4998245e+00
-1.7125000e+02  0.0000000e+00  1.4999754e+00
-1.7075000e+02  0.0000000e+00  1.4994520e+00
-1.7025000e+02  0.0000000e+00  1.4998266e+00
-1.6975000e+02  0.0000000e+00  1.4998812e+00
-1.6925000e+02  0.0000000e+00  1.4998359e+00
-1.6875000e+02  0.0000000e+00  1.4996307e+00
-1.6825000e+02  0.0000000e+00  1.4998645e+00
-1.6775000e+02  0.0000000e+00  1.4999147e+00
-1.6725000e+02  0.0000000e+00  1.4993973e+00
-1.6675000e+02  0.0000000e+00  1.4998341e+00
