# refraction=1, step 0, P1_vac_2d_spot_abl geometry
# x/d_e   column-integrated P_abs [W/m]
-1.5975000e+02  1.6429511e-16
-1.5925000e+02  1.5919268e-19
-1.5875000e+02  3.6498801e-16
-1.5825000e+02  5.3958111e-16
-1.5775000e+02  8.0224699e-16
-1.5725000e+02  1.1911548e-15
-1.5675000e+02  1.6994774e-15
-1.5625000e+02  2.6526759e-15
-1.5575000e+02  3.8799725e-15
-1.5525000e+02  5.6616672e-15
-1.5475000e+02  8.3669276e-15
-1.5425000e+02  1.2311817e-14
-1.5375000e+02  1.8340843e-14
-1.5325000e+02  2.6295741e-14
-1.5275000e+02  3.8775920e-14
-1.5225000e+02  5.7108717e-14
-1.5175000e+02  8.2697275e-14
-1.5125000e+02  1.2167726e-13
-1.5075000e+02  1.7766473e-13
-1.5025000e+02  2.5912983e-13
-1.4975000e+02  3.6154547e-13
-1.4925000e+02  5.6069627e-13
-1.4875000e+02  7.9444489e-13
-1.4825000e+02  1.1097938e-12
-1.4775000e+02  1.7751221e-12
-1.4725000e+02  2.3380982e-12
-1.4675000e+02  3.4621854e-12
-1.4625000e+02  5.0617072e-12
-1.4575000e+02  7.1949173e-12
-1.4525000e+02  1.0395174e-11
-1.4475000e+02  1.6571676e-11
-1.4425000e+02  1.9800858e-11
-1.4375000e+02  3.0801105e-11
-1.4325000e+02  4.3907944e-11
-1.4275000e+02  6.2978257e-11
-1.4225000e+02  8.9708519e-11
-1.4175000e+02  1.2554850e-10
-1.4125000e+02  1.8476653e-10
-1.4075000e+02  2.6085297e-10
-1.4025000e+02  3.6776598e-10
-1.3975000e+02  4.7194658e-10
-1.3925000e+02  8.1818568e-10
-1.3875000e+02  1.0244290e-09
-1.3825000e+02  1.4801606e-09
-1.3775000e+02  2.1656006e-09
-1.3725000e+02  2.8891334e-09
-1.3675000e+02  4.1632760e-09
-1.3625000e+02  5.7164032e-09
-1.3575000e+02  8.6774749e-09
-1.3525000e+02  1.1229692e-08
-1.3475000e+02  1.6119382e-08
-1.3425000e+02  2.2704172e-08
-1.3375000e+02  3.5830740e-08
-1.3325000e+02  4.0033047e-08
-1.3275000e+02  6.1971621e-08
-1.3225000e+02  8.6295584e-08
-1.3175000e+02  1.1853972e-07
-1.3125000e+02  1.5918971e-07
-1.3075000e+02  2.3648410e-07
