# laser_deposition ray paths
# step 0 time 6.91752681e-17 ray_stride 16 ray_step_stride 40
# one row per recorded point; rows are grouped by ray and ordered along the march
# P [W] is the power still carried; ne [m^-3] is at the point; turned = 1 on the step the near-critical specular branch fired
# iray istep x z P ne turned
0 -1 -2.67725273e-05 1.84349171e-04 1.64120452e-16 0.00000000e+00 0
0 0 -2.67725273e-05 1.84328222e-04 1.64120452e-16 0.00000000e+00 0
0 40 -2.67725273e-05 1.83490271e-04 1.64120452e-16 0.00000000e+00 0
0 80 -2.67725273e-05 1.82652320e-04 1.64120452e-16 0.00000000e+00 0
0 120 -2.67725273e-05 1.81814369e-04 1.64120452e-16 0.00000000e+00 0
0 160 -2.67725273e-05 1.80976419e-04 1.64120452e-16 0.00000000e+00 0
0 200 -2.67725273e-05 1.80138468e-04 1.64120452e-16 0.00000000e+00 0
0 240 -2.67725273e-05 1.79300517e-04 1.64120452e-16 0.00000000e+00 0
0 280 -2.67725273e-05 1.78462566e-04 1.64120452e-16 0.00000000e+00 0
0 320 -2.67725273e-05 1.77624616e-04 1.64120452e-16 0.00000000e+00 0
0 360 -2.67725273e-05 1.76786665e-04 1.64120452e-16 0.00000000e+00 0
0 400 -2.67725273e-05 1.75948714e-04 1.64120452e-16 0.00000000e+00 0
0 440 -2.67725273e-05 1.75110763e-04 1.64120452e-16 0.00000000e+00 0
0 480 -2.67725273e-05 1.74272813e-04 1.64120452e-16 0.00000000e+00 0
0 520 -2.67725273e-05 1.73434862e-04 1.64120452e-16 0.00000000e+00 0
0 560 -2.67725273e-05 1.72596911e-04 1.64120452e-16 0.00000000e+00 0
0 600 -2.67725273e-05 1.71758960e-04 1.64120452e-16 0.00000000e+00 0
0 640 -2.67725273e-05 1.70921009e-04 1.64120452e-16 0.00000000e+00 0
0 680 -2.67725273e-05 1.70083059e-04 1.64120452e-16 0.00000000e+00 0
0 720 -2.67725273e-05 1.69245108e-04 1.64120452e-16 0.00000000e+00 0
0 760 -2.67725273e-05 1.68407157e-04 1.64120452e-16 0.00000000e+00 0
0 800 -2.67725273e-05 1.67569206e-04 1.64120452e-16 0.00000000e+00 0
0 840 -2.67725273e-05 1.66731256e-04 1.64120452e-16 0.00000000e+00 0
0 880 -2.67725273e-05 1.65893305e-04 1.64120452e-16 0.00000000e+00 0
0 920 -2.67725273e-05 1.65055354e-04 1.64120452e-16 0.00000000e+00 0
