# x/d_e   z_crit(t=0)/d_e   z_crit(t_end)/d_e
  -159.75000     31.25000          nan
  -159.25000     37.75000    -44.75000
  -158.75000     37.75000      8.75000
  -158.25000     37.75000     12.25000
  -157.75000     37.75000     -2.75000
  -157.25000     37.75000    -13.25000
  -156.75000     37.75000      3.25000
  -156.25000     37.75000     16.25000
  -155.75000     37.75000     22.25000
  -155.25000     37.75000     20.25000
  -154.75000     37.75000     15.25000
  -154.25000     37.75000     11.25000
  -153.75000     37.75000      6.75000
  -153.25000     37.75000      1.25000
  -152.75000     37.75000      9.25000
  -152.25000     37.75000     16.25000
  -151.75000     37.75000     10.75000
  -151.25000     37.75000     18.75000
  -150.75000     37.75000     17.25000
  -150.25000     37.75000     14.25000
  -149.75000     37.75000     19.25000
  -149.25000     37.75000     18.25000
  -148.75000     37.75000     21.75000
  -148.25000     38.25000     21.75000
  -147.75000     37.75000     10.75000
  -147.25000     37.75000     25.75000
  -146.75000     38.25000     18.25000
  -146.25000     37.75000     22.75000
  -145.75000     37.75000     26.25000
  -145.25000     37.75000     31.25000
  -144.75000     37.75000     29.25000
  -144.25000     37.75000     18.75000
  -143.75000     37.75000     22.25000
  -143.25000     37.75000     20.75000
  -142.75000     37.75000     21.75000
  -142.25000     37.75000     16.25000
  -141.75000     37.75000     25.25000
  -141.25000     37.75000     26.25000
  -140.75000     37.75000     25.75000
  -140.25000     37.75000     29.25000
  -139.75000     37.75000     13.75000
  -139.25000     37.75000     29.75000
  -138.75000     37.75000     28.25000
  -138.25000     37.75000     25.75000
  -137.75000     37.75000     29.75000
  -137.25000     37.75000     33.25000
  -136.75000     37.75000     39.75000
  -136.25000     37.75000     28.25000
  -135.75000     37.75000     25.75000
  -135.25000     37.75000     36.25000
  -134.75000     38.25000     30.75000
  -134.25000     37.75000     32.75000
  -133.75000     37.75000     27.75000
  -133.25000     37.75000     34.75000
  -132.75000     37.75000     29.75000
  -132.25000     37.75000     29.75000
  -131.75000     37.75000     36.75000
  -131.25000     37.75000     32.25000
  -130.75000     37.75000     38.25000
  -130.25000     37.75000     37.75000
  -129.75000     37.75000     28.75000
  -129.25000     37.75000     32.75000
  -128.75000     37.75000     36.75000
  -128.25000     37.75000     30.25000
  -127.75000     37.75000     37.25000
  -127.25000     38.25000     31.25000
  -126.75000     37.75000     42.25000
  -126.25000     37.75000     37.25000
  -125.75000     37.75000     32.75000
  -125.25000     37.75000     42.75000
  -124.75000     37.75000     36.25000
  -124.25000     37.75000     37.25000
  -123.75000     37.75000     41.25000
  -123.25000     37.75000     48.25000
  -122.75000     37.75000     43.25000
  -122.25000     37.75000     35.75000
  -121.75000     37.75000     42.75000
  -121.25000     38.25000     47.25000
  -120.75000     37.75000     41.25000
  -120.25000     37.75000     40.75000
  -119.75000     37.75000     39.25000
  -119.25000     37.75000     40.25000
  -118.75000     37.75000     42.25000
  -118.25000     37.75000     44.75000
  -117.75000     37.75000     45.75000
  -117.25000     37.75000     45.25000
  -116.75000     37.75000     41.75000
  -116.25000     37.75000     46.75000
  -115.75000     37.75000     44.25000
  -115.25000     37.75000     43.25000
  -114.75000     38.25000     47.25000
  -114.25000     37.75000     42.25000
  -113.75000     38.25000     45.25000
  -113.25000     37.75000     41.75000
  -112.75000     37.75000     50.75000
  -112.25000     37.75000     48.75000
  -111.75000     37.75000     47.75000
  -111.25000     37.75000     47.25000
  -110.75000     38.25000     48.75000
  -110.25000     37.75000     54.25000
  -109.75000     37.75000     46.25000
  -109.25000     38.25000     47.25000
  -108.75000     37.75000     49.75000
  -108.25000     37.75000     48.25000
  -107.75000     37.75000     47.25000
  -107.25000     37.75000     56.75000
  -106.75000     37.75000     45.25000
  -106.25000     37.75000     54.25000
  -105.75000     37.75000     43.25000
  -105.25000     37.75000     53.75000
  -104.75000     37.75000     50.75000
  -104.25000     37.75000     48.75000
  -103.75000     38.25000     48.25000
  -103.25000     37.75000     53.25000
  -102.75000     37.75000     43.25000
  -102.25000     37.75000     53.75000
  -101.75000     37.75000     52.25000
  -101.25000     37.75000     52.25000
  -100.75000     38.25000     53.25000
  -100.25000     37.75000     52.75000
   -99.75000     38.25000     47.75000
   -99.25000     37.75000     47.25000
